targetId,comparatorId,outcomeId,outcomeName,type
289,290,4175583,3-Methylglutaconic aciduria type 2,outcome
289,290,375824,Abnormal auditory perception,outcome
289,290,435574,Abnormal form of root of tooth,outcome
289,290,4262562,Abnormal heart beat,outcome
289,290,439935,Abnormal posture,outcome
289,290,436409,Abnormal pupil,outcome
289,290,443702,Abnormal response to nerve stimulation,outcome
289,290,4088768,Absent nipple,outcome
289,290,4319325,Acquired deformity of trunk,outcome
289,290,435720,Adverse anesthesia outcome,outcome
289,290,4254371,Altered growth and development,outcome
289,290,434916,"Amphetamine or psychostimulant dependence, continuous",outcome
289,290,4155909,Anesthesia of skin,outcome
289,290,45757682,Anomaly of jaw size,outcome
289,290,76744,Azoospermia,outcome
289,290,4216219,Bizarre personal appearance,outcome
289,290,433813,Bladder neck obstruction,outcome
289,290,436230,Blood chemistry abnormal,outcome
289,290,74698,Breech presentation,outcome
289,290,256449,Bronchiectasis,outcome
289,290,134765,Cachexia,outcome
289,290,4228429,Carnitine deficiency,outcome
289,290,42709838,Cellulitis of lower limb,outcome
289,290,4213540,Cervical somatic dysfunction,outcome
289,290,443570,Cervicovaginal cytology: Low grade squamous intraepithelial lesion,outcome
289,290,438262,Chyluria,outcome
289,290,4066505,Clicking hip,outcome
289,290,196454,Colostomy and enterostomy malfunction,outcome
289,290,4201390,Colostomy present,outcome
289,290,46269889,Complication due to Crohn's disease,outcome
289,290,4173078,Complication due to immunization,outcome
289,290,438624,Complication of renal dialysis,outcome
289,290,80492,Contracture of knee joint,outcome
289,290,4022071,Convalescence,outcome
289,290,432729,Crying infant,outcome
289,290,436233,Delayed milestone,outcome
289,290,443737,Dental restoration lost,outcome
289,290,438183,Denture occlusion incorrect,outcome
289,290,438759,Descemet's membrane fold,outcome
289,290,4101282,Dietary selenium deficiency,outcome
289,290,4115402,Difficulty sleeping,outcome
289,290,4022078,Discord with counselor,outcome
289,290,201091,Disproportion - major pelvic abnormality,outcome
289,290,372329,Dissociated deviation,outcome
289,290,4155818,Does climb,outcome
289,290,4196636,Dysarthria,outcome
289,290,433441,Ectopic production of endocrine substance,outcome
289,290,433111,Effects of hunger,outcome
289,290,439791,Emotional upset,outcome
289,290,4029271,Essential fatty acid deficiency,outcome
289,290,40480271,Extra unidentified structurally abnormal chromosome,outcome
289,290,193598,Extravasation of urine,outcome
289,290,439128,Extreme prematurity of infant,outcome
289,290,4059015,Falls,outcome
289,290,4092896,Feces contents abnormal,outcome
289,290,4182437,Female genital cutting,outcome
289,290,4118057,Fetal or neonatal effect of maternal oligohydramnios,outcome
289,290,4229403,Flat anterior chamber of eye,outcome
289,290,4069540,Flexion deformity of knee,outcome
289,290,374801,Foreign body in ear,outcome
289,290,4096540,Foreskin deficient,outcome
289,290,441487,Frostbite,outcome
289,290,73564,Full thickness rotator cuff tear,outcome
289,290,439788,Galactosemia,outcome
289,290,435775,Genetic anomaly of leukocyte,outcome
289,290,440329,Herpes zoster without complication,outcome
289,290,4012570,High risk sexual behavior,outcome
289,290,441829,Hyperosmolality and or hypernatremia,outcome
289,290,4287416,Hyperphenylalaninemia,outcome
289,290,192298,Hypersplenism,outcome
289,290,440129,Hypertrophy of nasal turbinates,outcome
289,290,4029280,Hypervitaminosis B6,outcome
289,290,435522,Hypervitaminosis D,outcome
289,290,434004,Hypervolemia,outcome
289,290,4024266,Hypocupremia,outcome
289,290,437390,Hypoxemia,outcome
289,290,443447,Iatrogenic hypotension,outcome
289,290,432596,Immune defect,outcome
289,290,4344500,Impingement syndrome of shoulder region,outcome
289,290,4090353,Incompetent urethral closure mechanism,outcome
289,290,441417,Incoordination,outcome
289,290,434485,Increase in body fat,outcome
289,290,440276,"Infection AND/OR inflammatory reaction due to internal prosthetic device, implant AND/OR graft",outcome
289,290,434872,Infection by Trichomonas,outcome
289,290,440053,Infestation by insect,outcome
289,290,442120,Injection site extravasation,outcome
289,290,4168222,"Intra-abdominal and pelvic swelling, mass and lump",outcome
289,290,440710,Intraretinal microvascular abnormality,outcome
289,290,72404,Joint stiffness,outcome
289,290,4093346,Large prostate,outcome
289,290,133088,Late amputation stump complication,outcome
